Name	Country	Sector	Industry	Desc	Departments	City	Year	Size	Url	Odsets	TW	financials
Development Initiatives	United Kingdom		Business administration and support services	Promote open data, Use open government datasets to produce visualisations and reports on development, provide Development Data Hub which aggregates a range of open datasets related to development		North Quay House, Quay side, Temple Back, Bristol, BS1 6FL	9/12/2007		http://devinit.org/	Promote open data, Use open government datasets to produce visualisations and reports on development, provide Development Data Hub which aggregates a range of open datasets related to development
Mendeley	United Kingdom		Information & communication	The Mendeley API provides the ability to query metadata about millions of research documents in almost any programming language		Ground Floor, White Bear Yard, 144a Clerkenwell Road, London, EC1R 5DF	11/6/2007		http://www.mendeley.com/	The Mendeley API provides the ability to query metadata about millions of research documents in almost any programming language
Above Mobile	United Kingdom		Information & communication	Crime Map England & Wales uses open crime statistics data		Unit 45, Greenheys Building, Manchester Science Park, Manchester, M15 6JJ	11/15/2007		http://www.attidomobile.co.uk/	Crime Map England & Wales uses open crime statistics data
Spotify	United Kingdom		Business administration and support services	Uses MusicBrainz data in their music streaming services		4th Floor, 25 Argyll Street, London, W1F 7TU	11/23/2007		https://www.spotify.com/uk/	Uses MusicBrainz data in their music streaming services
Zaizi	United Kingdom		Information & communication	Promote open data, provide Alfresco services which facilitate open data publishing		Brook House, 4th Floor, North Wing, 229-243 Shepherd's Bush Road, London, W6 7AN	11/29/2007		http://www.zaizi.com/	Promote open data, provide Alfresco services which facilitate open data publishing
Demand Logic	United Kingdom		Professional, scientific & technical	ODI Startup: seeking to incorporate open meteorological data and publish data on systematic faults		Westgate House, 2a Prebend Street, London, N1 8PT	12/20/2007		https://www.demandlogic.co.uk/	ODI Startup: seeking to incorporate open meteorological data and publish data on systematic faults
Swirrl	United Kingdom		Information & communication	ODI Supporter: provides infrastructure which facilitates the publishing of linked open data		1st Floor , 20 Dale Street, Manchester, M1 1EZ	2/7/2008		http://www.swirrl.com	ODI Supporter: provides infrastructure which facilitates the publishing of linked open data
SamKnows	United Kingdom		Business administration and support services	ODI Supporter		94 New Bond Street, London, W1S 1SJ	2/20/2008		https://www.samknows.com/	ODI Supporter
Transport API	United Kingdom		Transport & storage (inc postal)	ODI Startup: use open public transport data		8th Floor, One Eversholt Street, London, NW1 2DN	3/10/2008		http://transportapi.com/	ODI Startup: use open public transport data
Cyscom	United Kingdom		Information & communication	Provide a platform where users can analyse open data		49 Whitelands House, Cheltenham Terrace, London, SW3 4QY	3/25/2008		http://www.cyscom.com/	Provide a platform where users can analyse open data
Cogent Analytics	United Kingdom		Information & communication	ODI Supporter		5 Devonshire Square, London, EC2M 4YD	4/16/2008		http://www.cogentdataanalytics.com/	ODI Supporter
Meducation	United Kingdom		Information & communication	Promote open data, publish own research provided under a CC licence		70 Coast Road, West Mersea, Colchester, Essex, CO5 8LS	4/16/2008		http://company.meducation.net/	Promote open data, publish own research provided under a CC licence
Whythawk	United Kingdom		Professional, scientific & technical	ODI Supporter: delivers open data consulting, publishing software and training for open knowledge projects and leading open data portals		8 Helen Road, Oxford, Oxfordshire, OX2 0DE	5/2/2008		http://www.whythawk.com/	ODI Supporter: delivers open data consulting, publishing software and training for open knowledge projects and leading open data portals
AMEE	United Kingdom		Information & communication	ODI Supporter: Uses and aggregates various open business and environmental datasets		13-19 Bevenden Street, London, N1 6AA	6/25/2008		https://www.amee.com/	ODI Supporter: Uses and aggregates various open business and environmental datasets
ClearBooks	United Kingdom		Information & communication	Worked with Companies House to make their webcheck service available through Clear Books		Lyric House, 149 Hammersmith Road, West Kensington, London, W14 0QL	7/2/2008		http://www.clearbooks.co.uk/	Worked with Companies House to make their webcheck service available through Clear Books
Pitchup.com	United Kingdom		Business administration and support services	Uses geospatial, national park, water quality and other open datasets		13 Princeton Court, 53-55 Felsham Road, London, SW15 1AZ	7/2/2008		https://www.pitchup.com	Uses geospatial, national park, water quality and other open datasets
Radio Tuna	United Kingdom		Information & communication	Uses MusicBrainz and Discogs open databases			8/6/2008		http://radiotuna.com/	Uses MusicBrainz and Discogs open databases
Flatmate Rooms	United Kingdom		Information & communication	Uses open data from OS and data.gov			9/5/2008		https://www.flatmaterooms.co.uk/	Uses open data from OS and data.gov
Sandbag Climate Campaign	United Kingdom		Business administration and support services	Sandbag’s maps use open data from the European Commission’s Community Installation Transaction Log and the United Nations offset registry		40 Bermondsey Street, London, UK, SE1 3UD	10/3/2008		http://www.sandbag.org.uk/	Sandbag’s maps use open data from the European Commission’s Community Installation Transaction Log and the United Nations offset registry
CDG	United Kingdom		Information & communication	ODI Supporter		Old Boundary House, Sunningdale, Berkshire, SL5 0DJ	11/11/2008		http://groupcdg.com	ODI Supporter
Mudlark	United Kingdom		Information & communication	Uses local council open data on Birmingham City Dashboard		1 Brown Street, Sheffield, South Yorkshire, S1 2BS	11/26/2008		http://wearemudlark.com/	Uses local council open data on Birmingham City Dashboard
Yelp	United Kingdom		Business administration and support services	ODI Supporter			12/1/2008		http://www.yelp.co.uk/	ODI Supporter
Geo.me Solutions	United Kingdom		Information & communication	Uses open data in demonstration tools, took part in OS Geovation challenge and co-created Blue Plaque Guide		1st Floor, 21-24 Millbank, London, SW1P 4DP	12/2/2008		http://www.geo.me/	Uses open data in demonstration tools, took part in OS Geovation challenge and co-created Blue Plaque Guide
Raster Solutions	United Kingdom		Information & communication	London Traffic Cams use TfL feeds and live traffic incident data			1/19/2009		http://www.rastersolutions.com/index.htm	London Traffic Cams use TfL feeds and live traffic incident data
CtrlShift	United Kingdom		Arts, entertainment, recreation and other services	ODI Supporter, promote open data and research relationship between midata and open data		West Wing, Somerset House, Strand, London, WC2R 1LA	1/26/2009		https://www.ctrl-shift.co.uk	ODI Supporter, promote open data and research relationship between midata and open data
Rudman Consulting	United Kingdom		Professional, scientific & technical	Promote open data, provide 'learning journey' about Edinburgh Festival's open data initiative			2/4/2009		http://www.consultrudman.com/	Promote open data, provide 'learning journey' about Edinburgh Festival's open data initiative
Compare Care Homes	United Kingdom		Professional, scientific & technical	Uses carehome locations open data		West Midlands House, Gipsy Lane, Willenhall, West Midlands, WV13 2HA	5/26/2009		http://www.comparecarehomes.com/	Uses carehome locations open data
Arcus Global	United Kingdom		Public administration & defence	Provides infrastructure for open data publishing with the DataTAP publishing platform which also uses Ordnance Survey open data to provide visualisation of data		Future Business Centre, King’s Hedges Road, Cambridge, CB4 2HY	6/29/2009		http://www.arcusglobal.com	Provides infrastructure for open data publishing with the DataTAP publishing platform which also uses Ordnance Survey open data to provide visualisation of data
CycleStreets	United Kingdom		Information & communication	Uses Open Street Map (Open Cycle Map)			7/1/2009		http://www.cyclestreets.net/	Uses Open Street Map (Open Cycle Map)
Parkopedia	United Kingdom		Information & communication	Uses open geospatial data (OpenStreetMap)			7/3/2009		http://www.parkopedia.co.uk/	Uses open geospatial data (OpenStreetMap)
iGeolise	United Kingdom		Information & communication	ODI Supporter, uses open transport data		320 City Road, London, EC1V 2NZ	7/29/2009		http://www.igeolise.com/	ODI Supporter, uses open transport data
ScraperWiki	United Kingdom		Information & communication	ODI Supporter: has built a world wide community of data scientists who are creating value using open data		146 Brownlow Hill, Liverpool, Merseyside, L3 5RF	8/4/2009		http://www.scraperwiki.com	ODI Supporter: has built a world wide community of data scientists who are creating value using open data
MadLab	United Kingdom		Arts, entertainment, recreation and other services	Promote open data and host open data events		36-40 Edge Street, Manchester, Greater Manchester, M4 1HN	8/6/2009		http://madlab.org.uk/	Promote open data and host open data events
The Audience Agency Services	United Kingdom		Arts, entertainment, recreation and other services	ODI Supporter		Unit 7G1, Leathermarket, London, SE1 3ER	8/19/2009		http://www.theaudienceagency.org/	ODI Supporter
DueDil	United Kingdom		Business administration and support services	Use open data from Companies House			8/25/2009		https://www.duedil.com/	Use open data from Companies House
Elbatrop	United Kingdom		Information & communication	Provide a variety of apps are based on open data from OpenStreetMap and UK government as well as other open data sources from around the world including the San Francisco Department of Public Works			8/25/2009		http://www.elbatrop.com/	Provide a variety of apps are based on open data from OpenStreetMap and UK government as well as other open data sources from around the world including the San Francisco Department of Public Works
Epimorphics	United Kingdom		Information & communication	ODI Supporter, publish linked open data on behalf of various public sector bodies		Court Lodge, 105 High Street, Portishead, BS20 6PT	9/11/2009		http://www.epimorphics.com/web/	ODI Supporter, publish linked open data on behalf of various public sector bodies
100%Open	United Kingdom		Professional, scientific & technical	ODI Supporter: facilitates open innovation for clients		Somerset House, T135 & T136, New Wing, Strand, London, WC2R 1LA	9/20/2009		http://www.100open.com	ODI Supporter: facilitates open innovation for clients
BPE Solicitors	United Kingdom			ODI Sponsor, provide legal services around open data		1st Floor, St. James' House, St. James' Square, Cheltenham, GL50 3PR	9/28/2009		http://www.bpe.co.uk/	ODI Sponsor, provide legal services around open data
Total Car Check	United Kingdom		Information & communication	Use open transport data on vehicles to inform its services			10/15/2009		http://totalcarcheck.co.uk/	Use open transport data on vehicles to inform its services
RateSetter	United Kingdom		Finance & insurance	ODI Supporter		406 Great Guildford Business Square, 30 Great Guildford Street, London, SE1 0HS	11/13/2009		http://www.ratesetter.com	ODI Supporter
Mapumental	United Kingdom		Information & communication	Use open transport and mapping data		2nd Floor, Avebury House, 55 Newhall Street, Birmingham, B3 3RB	11/26/2009		http://mapumental.com	Use open transport and mapping data
Qubit Digital	United Kingdom		Business administration and support services	Use open geospatial and weather data, platform facilitates use of open data		20 Broadwick Street, London, W1F 8HT	1/5/2010		http://www.qubitproducts.com/	Use open geospatial and weather data, platform facilitates use of open data
Tableu Software	United Kingdom		Business administration and support services	Enables users to publish and explore visualisations of open data		Blue Fin Building, 110 Southwark Street, London, SE1 0SU	1/7/2010		http://www.tableausoftware.com/public/how-it-works	Enables users to publish and explore visualisations of open data
Thunderforest	United Kingdom		Information & communication	Publishes all map styles under Creative Commons (CC-by-SA 2.0) licence, underlying map data from OpenStreetMap		53 Ancaster Crescent, New Malden, KT3 6BD	1/15/2010		http://www.thunderforest.com	Publishes all map styles under Creative Commons (CC-by-SA 2.0) licence, underlying map data from OpenStreetMap
Timetric	United Kingdom		Business administration and support services	Timetric indexes the world's leading public macroeconomic data from hundreds of sources, including statistics from data.gov.uk, the Office for National Statistics, and Eurostat		John Carpenter House, 7 Carmelite Street, London, EC4Y 0BS	1/22/2010		http://timetric.com/	Timetric indexes the world's leading public macroeconomic data from hundreds of sources, including statistics from data.gov.uk, the Office for National Statistics, and Eurostat
Rewired State	United Kingdom		Business administration and support services	Organises hack days which use various open datasets		Ludgate House, 28D Ludgate Hill, Birmingham, B3 1DX	2/8/2010		http://rewiredstate.org/	Organises hack days which use various open datasets
Talis Education	United Kingdom		Education	Uses Open Library records in Talis Aspire to provide book metadata when a resource is bookmarked from the web		48 Frederick Street, Birmingham, B1 3HN	3/19/2010		http://www.talis.com/	Uses Open Library records in Talis Aspire to provide book metadata when a resource is bookmarked from the web
Locrating	United Kingdom		Information & communication	Uses extensive open data from the Department of Education/Ofsted		4 Calder Court, Amy Johnson Way, Blackpool, FY4 2RH	4/27/2010		http://www.locrating.com/	Uses extensive open data from the Department of Education/Ofsted
Funding Circle	United Kingdom		Business administration and support services	Published loan-by-loan data openly and participated in peer-to-peer lending project with the ODI		3 Dorset Rise, London, EC4Y 8EN	4/29/2010		https://www.fundingcircle.com/	Published loan-by-loan data openly and participated in peer-to-peer lending project with the ODI
FlyingBinary	United Kingdom		Information & communication	ODI Supporter, promote open data, use open data for data journalism and in several data analytics products		98 Brackley Square, Woodford Green, London, IG8 7LS	5/18/2010		http://www.flyingbinary.com	ODI Supporter, promote open data, use open data for data journalism and in several data analytics products
CH2M	United Kingdom		Professional, scientific & technical	Operated Project Solaris which used open OS and transport data to help with transport planning		Elms House, 43 Brook Green, London, W6 7EF	5/21/2010		http://www.ch2m.com/corporate/default.asp	Operated Project Solaris which used open OS and transport data to help with transport planning
Ayoupa	United Kingdom		Information & communication	Uses live open travel data from Tfl London Underground, London Overground, Docklands Light Rail (DLR), and UK National Rail services			6/28/2010		http://commuter.cc/index.html	Uses live open travel data from Tfl London Underground, London Overground, Docklands Light Rail (DLR), and UK National Rail services
Adzuna	United Kingdom		Information & communication	Uses open employment and salary statistics data			7/1/2010		http://www.adzuna.co.uk/	Uses open employment and salary statistics data
Campsall Owen	United Kingdom		Professional, scientific & technical	Developed the CrashMap which uses police traffic collision data			8/11/2010		http://www.campsallowen.co.uk/	Developed the CrashMap which uses police traffic collision data
TaxCalculator.co.uk	United Kingdom		Information & communication	Provides UK tax calculations based on open government tax data			8/13/2010		http://www.taxcalculator.co.uk/	Provides UK tax calculations based on open government tax data
OpenCorporates	United Kingdom		Information & communication	ODI Startup: provides the largest openly licensed database of companies, and their information, in the world		3rd Floor, 65 Clifton Street, London, EC2A 4JE	11/18/2010		http://opencorporates.com/	ODI Startup: provides the largest openly licensed database of companies, and their information, in the world
HealthIQ	United Kingdom		Information & communication	Use open NHS and ambulance data		E1 Business Centre, 3rd Floor, Unit 301, 7 Whitechapel Road, London, E1 1DU	1/25/2011		http://healthiq.co.uk/	Use open NHS and ambulance data
CarbonCulture	United Kingdom		Professional, scientific & technical	ODI Startup, publish data collected openly (subject to client requirements)		3rd Floor, 65 Clifton Street, London, EC2A 4JE	2/10/2011		https://platform.carbonculture.net/landing/	ODI Startup, publish data collected openly (subject to client requirements)
Pesky People	United Kingdom		Arts, entertainment, recreation and other services	ODI Startup		3rd Floor, 65 Clifton Street, London, EC2A 4JE	2/24/2011		http://www.peskypeople.co.uk/	ODI Startup
Thumbprint Cooperative	United Kingdom		Information & communication	Who Owns My Neighbourhood uses open Kirklees Council land ownership data			4/1/2011		http://thumbprint.coop	Who Owns My Neighbourhood uses open Kirklees Council land ownership data
Elgin	United Kingdom		Information & communication	ELGIN aggregates real-time open road incident, traffic and roadworks data and provides this data for reuse via an API		40-42 Hatton Garden, London, EC1N 8EB	4/4/2011		http://www.elgin.org.uk/	ELGIN aggregates real-time open road incident, traffic and roadworks data and provides this data for reuse via an API
SKYSCAPE Cloud Services	United Kingdom		Information & communication	Provides infrastructure for analysing open data and promotes open data through events		A8, Cody Technology Park, Ively Road, Farnborough, Hampshire, GU14 0LX	5/3/2011		http://www.skyscapecloud.com/	Provides infrastructure for analysing open data and promotes open data through events
Red Ninja Studios	United Kingdom		Production	Currently developing an open planning portal for Liverpool		Elevator Studios, 27 Parliament Street, Liverpool, England, L8 5RN	5/10/2011		http://www.redninja.co.uk/	Currently developing an open planning portal for Liverpool
Project00	United Kingdom		Professional, scientific & technical	Worked on the WikiHouse project in which all design information shared in the WikiHouse commons is shared under a CC-BY-SA 4.0 license		1st Floor, New Zealand House, 80 Haymarket, London, SW1Y 4TE	6/30/2011		http://www.project00.cc/	Worked on the WikiHouse project in which all design information shared in the WikiHouse commons is shared under a CC-BY-SA 4.0 license
AIDA Technology	United Kingdom		Business administration and support services	ODI Supporter		Innospace, Manchester Metropolitan University Business Incubator, Manchester, Lancashire, M1 3FY	7/5/2011		http://www.aidatechnology.com/index.html	ODI Supporter
Xively	United Kingdom		Information & communication	Provides API resources, facilitates datafeeds being published as 'public feeds' shared under a CC0 license		13-21 Curtain Road, London, EC2A 3LT	7/12/2011		https://secure.logmein.com/	Provides API resources, facilitates datafeeds being published as 'public feeds' shared under a CC0 license
Sibdocity	United Kingdom		Information & communication	ODI Supporter, promote open data, tool supports the use of open data		Central Working, 69-89 Mile End Road, London, E1 4UJ	8/23/2011		http://www.sibdocity.com	ODI Supporter, promote open data, tool supports the use of open data
Findaschool	United Kingdom		Information & communication	Uses open education data - Ofsted inspection reports, School level data from the Department for Education annual census, exam results, previous years' school admissions data			8/30/2011		http://www.findaschool.info/index.php	Uses open education data - Ofsted inspection reports, School level data from the Department for Education annual census, exam results, previous years' school admissions data
Growth Intelligence	United Kingdom		Professional, scientific & technical	Predictive marketing software uses open data (referenced as ‘open-source’ data)		1 Canada Square, London, E14 5AA	9/12/2011		http://www.growthintel.com/	Predictive marketing software uses open data (referenced as ‘open-source’ data)
City Farmers	United Kingdom		Professional, scientific & technical	Uses a range of open datasets including Ordnance Survey data and food statistics			11/7/2011		http://city-farmers.co.uk/	Uses a range of open datasets including Ordnance Survey data and food statistics
Open Health Care UK	United Kingdom		Information & communication	Open Prescribing/Prescribing Analytics use GP open prescribing data			11/15/2011		http://www.openhealthcare.org.uk/	Open Prescribing/Prescribing Analytics use GP open prescribing data
Ghostery	United Kingdom		Information & communication	Part of the Open Data Partnership providing transparency on who collects what browsing data		Golden Cross House, Suite 201, 8 Duncannon Street, London, WC2N 4JF	11/17/2011		https://www.ghosteryenterprise.com/	Part of the Open Data Partnership providing transparency on who collects what browsing data
Universities UK	United Kingdom		Education	ODI Supporter, promote open data in higher education		Woburn House, 20 Tavistock Square, London, WC1H 9HQ	11/21/2011		http://www.universitiesuk.ac.uk/	ODI Supporter, promote open data in higher education
Oasis Loss Modelling Framework	United Kingdom		Information & communication	ODI Supporter		20-22 Bedford Row, London, WC1R 4JS	12/6/2011		http://www.oasislmf.org	ODI Supporter
Social Life	United Kingdom		Business administration and support services	Partnered with Mastadon C on Project Stentor, a project to build a prototype open-source, comparative city dashboard that synthesizes, analyzes and maps complex datasets		12a Peacock Yard, Iliffe Street, London, SE17 3LH	1/5/2012		http://www.social-life.co/	Partnered with Mastadon C on Project Stentor, a project to build a prototype open-source, comparative city dashboard that synthesizes, analyzes and maps complex datasets
FoodTrade	United Kingdom		Information & communication	Publishes data on food network and were founding signatories of the Global Open Data for Agriculture and Nutrition, presented at the ODI, Won ODCS Food Challenge for launching FoodTrade Menu			1/11/2012		http://foodtrade.com/	Publishes data on food network and were founding signatories of the Global Open Data for Agriculture and Nutrition, presented at the ODI, Won ODCS Food Challenge for launching FoodTrade Menu
Bright Blue	United Kingdom		Professional, scientific & technical	ODI Supporter		Flat 4, 30 Pembridge Square, London, W2 4DS	2/7/2012		http://brightblue.org.uk	ODI Supporter
3Tier (Europe)	United Kingdom		Business administration and support services	Collaborated with International Renewable Energy Agency (IRENA) to publish data on wind and solar energy via IRENA’s Global Renewable Energy Atlas		Elm House, 351 Bristol Road, Birmingham, B5 7SW	2/8/2012		http://www.3tier.com/en/europe/	Collaborated with International Renewable Energy Agency (IRENA) to publish data on wind and solar energy via IRENA’s Global Renewable Energy Atlas
Thwaites Communications	United Kingdom		Professional, scientific & technical	ODI Supporter		8 Earlson Grove, London, E9 7NE	2/15/2012		http://www.thwaitescommunications.co.uk	ODI Supporter
NUS	United Kingdom		Arts, entertainment, recreation and other services	ODI Supporter		Ian King House, Snape Road, Macclesfield, SK10 2NZ	4/2/2012		http://www.nus.org.uk/en/who-we-are/how-we-work/nus-services/	ODI Supporter
MoneySavingExpert.com	United Kingdom		Arts, entertainment, recreation and other services	Tickety Split helps users locate cheaper train fares by splitting journeys up by using open data from the Department for Transport		19-22 Rathbone Place, London, W1T 1HY	4/5/2012		http://www.moneysavingexpert.com/	Tickety Split helps users locate cheaper train fares by splitting journeys up by using open data from the Department for Transport
Mastodon C	United Kingdom		Information & communication	ODI Startup/Supporter, provides consultancy, analytics and data handling services		3rd Floor, 65 Clifton Street, London, EC2A 4JE	5/1/2012		http://www.mastodonc.com/	ODI Startup/Supporter, provides consultancy, analytics and data handling services
import.io	United Kingdom		Information & communication	ODI Supporter		4-5 Bonhill Street, London, EC2A 4BX	6/21/2012		http://import.io/	ODI Supporter
Health Fabric	United Kingdom		Information & communication	ODI Supporter		Quayside Tower, Birmingham, B1 2HF	7/30/2012		http://www.healthfabric.co.uk/	ODI Supporter
Engaged Investment	United Kingdom		Finance & insurance	Sets the EngagedX Investment reporting STandards (EXIST) under creative commons licence		Society House, Regent's Wharf, 8 All Saints Street , London, N1 9RL	7/31/2012		http://www.engagedinvestment.com/index.html	Sets the EngagedX Investment reporting STandards (EXIST) under creative commons licence
Javelin	United Kingdom		Business administration and support services	ODI Supporter, provides CloverETL data integration platform which can facilitate the use of open data		72 Great Suffolk Street, London, SE1 0BL	9/13/2012		http://www.javlininc.com/en/	ODI Supporter, provides CloverETL data integration platform which can facilitate the use of open data
Figshare	United Kingdom			Platform allows users to upload and access secientific datasets under a CC0 license, and provide content(figures, media, posters, papers, filesets) under a CC-BY license		Digital Science, The Macmillan Building, 4 Crinan Street, London, N1 9XW	9/17/2012		http://figshare.com/	Platform allows users to upload and access secientific datasets under a CC0 license, and provide content(figures, media, posters, papers, filesets) under a CC-BY license
Cytora	United Kingdom		Business administration and support services	Uses a variety of real-time open data sources including open crime data		10 Trumpington Street, Cambridge, CB29JA.	9/26/2012		http://www.cytora.com/index.html	Uses a variety of real-time open data sources including open crime data
OpenSignal	United Kingdom		Information & communication	Publishes coverage data for reuse via a free rate-limited API		White Bear Yard, 2nd Floor, 144a Clerkenwell Road, London, EC1R 5DF	10/3/2012		http://opensignal.com/	Publishes coverage data for reuse via a free rate-limited API
OpenWeatherMap	United Kingdom		Information & communication	Uses and creates layers for OpenStreetMap and Ordnance Survey OpenLayers		80-83 Long Lane, London, EC1A 9ET	10/10/2012		http://openweathermap.org/	Uses and creates layers for OpenStreetMap and Ordnance Survey OpenLayers
DataUnity	United Kingdom		Information & communication	Promotes open data, allows users to query and publish data from their organisation and other sources			11/21/2012		http://www.dataunity.org/	Promotes open data, allows users to query and publish data from their organisation and other sources
The Point People	United Kingdom		Information & communication	Promote open data, provide consultancy activities around open data		The Exchange, 28 London Bridge Street, London, SE1 9SG	12/4/2012		http://thepointpeople.com/	Promote open data, provide consultancy activities around open data
OnepointIQ	United Kingdom		Information & communication	ODI Supporter		One Point Consulting, Business Environment, 1 Olympic Way, Wembley, London, HA9 0NP	12/14/2012		http://www.onepointiq.com/	ODI Supporter
Illustreets	United Kingdom		Information & communication	Uses a range of open datasets to build its service		Flat 9, 4 Rosecroft Avenue, London, NW3 7QB	12/27/2012		http://illustreets.co.uk/	Uses a range of open datasets to build its service
Actuated Futures	United Kingdom			ODI Node: use open transport data		Workspace 9, Greenhouse, Beeston Road, Leeds, LS11 6AD	1/18/2013		http://actuatedfutures.com/	ODI Node: use open transport data
Open Utility	United Kingdom		Information & communication	ODI Startup: seeks to build a way for renewable generators to search and compare quotes for their export power from multiple suppliers to develop an open marketplace		3rd Floor, 65 Clifton Street, London, EC2A 4JE	1/31/2013		http://www.openutility.com/	ODI Startup: seeks to build a way for renewable generators to search and compare quotes for their export power from multiple suppliers to develop an open marketplace
DSRPTN	United Kingdom		Professional, scientific & technical	Offers consultancy services around open data			2/4/2013		http://disruptionltd.com/	Offers consultancy services around open data
Doorda	United Kingdom		Information & communication	ODI Supporter: aggregates open data for products and services		145-157 St John Street, London, EC1V 4PE	2/11/2013		http://doorda.com	ODI Supporter: aggregates open data for products and services
DataPress	United Kingdom		Information & communication	ODI Startup: Creates open source data portals in the cloud, created data.gov.uk		65 Clifton Street, London, EC2A 4JE	2/14/2013		http://datapress.io	ODI Startup: Creates open source data portals in the cloud, created data.gov.uk
Digi2al	United Kingdom		Information & communication	ODI Supporter		3 More London Riverside, London, SE1 2AQ	2/18/2013		http://www.digi2al.co.uk/	ODI Supporter
Folk Labs	United Kingdom		Information & communication	With Lambeth council, built a digital mar­ket­place to enable local volun­teer data experts and ana­lysts to create their own data visu­al­isa­tions using open data sets, released by the council.		52 Great North Road, London, N6 4LT	2/18/2013		http://www.folklabs.com/	With Lambeth council, built a digital mar­ket­place to enable local volun­teer data experts and ana­lysts to create their own data visu­al­isa­tions using open data sets, released by the council.
PretaGov	United Kingdom		Information & communication	Provides infrastructure for open Land Registry data to be published		L1, 9 Devonshire Square, London, EC2M 4YF	2/19/2013		http://www.pretagov.co.uk/	Provides infrastructure for open Land Registry data to be published
GeoLytix	United Kingdom			ODI Supporter, use, enhance and publish open data		Phoenix Yard, 65 Kings Cross Road, London, WC1X 9LW	3/1/2013		http://geolytix.co.uk/	ODI Supporter, use, enhance and publish open data
Where's This From?	United Kingdom		Information & communication	Uses open Food Standards Agency data		THE MERIDIAN 4 COPTHALL HOUSE, STATION SQUARE, Coventry, CV1 2FL	3/28/2013		http://www.wheresthisfrom.com/	Uses open Food Standards Agency data
Common Futures	United Kingdom		Professional, scientific & technical	Use open data for research (for example opencharities) and promote open data		Sandford Close, Colchester, Essex, CO79NP	4/9/2013		http://commonfutures.eu/	Use open data for research (for example opencharities) and promote open data
Locatable	United Kingdom		Information & communication	Uses a variety of open data sets to allow users to choose where to live based on transport links			7/19/2013		https://www.locatable.com/	Uses a variety of open data sets to allow users to choose where to live based on transport links
Project Provenance	United Kingdom		Business administration and support services	Former ODI Startup, uses a combination of open data APIs, such as Sourcemap.com, and OpenCorporates,			7/24/2013		https://www.provenance.org/	Former ODI Startup, uses a combination of open data APIs, such as Sourcemap.com, and OpenCorporates,
DrDoctor	United Kingdom		Health	Promote the adoption and use of open medical data		16 Hoxton Square, London, N16NT	7/30/2013		http://www.drdoctor.co.uk/	Promote the adoption and use of open medical data
Applied Works	United Kingdom		Professional, scientific & technical	ODI Supporter, visualise open data as part of some projects		6 Hoxton Square, London, N1 6NU	8/2/2013		http://appliedworks.co.uk/	ODI Supporter, visualise open data as part of some projects
Digital Contraptions Imaginarium	United Kingdom		Information & communication	Consult on open data projects and whenever possible, re-publishes open data (with open data certifcates)		22 Greenway, Berkhamsted, Hertfordshire, HP4 3JD	8/5/2013		http://www.digitalcontraptionsimaginarium.co.uk/	Consult on open data projects and whenever possible, re-publishes open data (with open data certifcates)
Nimble Learn	United Kingdom		Professional, scientific & technical	ODI Supporter		Chancery Station House, 31-33 High Holborn, London, WC1V 6AX	8/5/2013		http://www.nimblelearn.com/	ODI Supporter
Geoger Ltd	United Kingdom		Professional, scientific & technical	Uses open geospacial data, proponent of open source and open data			8/7/2013		http://geoger.co.uk/	Uses open geospacial data, proponent of open source and open data
Kudos	United Kingdom		Information & communication	Uses data from ORCID (This is CC0); data contributed by users is CC-BY			8/8/2013		https://www.growkudos.com/	Uses data from ORCID (This is CC0); data contributed by users is CC-BY
Aistemos	United Kingdom		Information & communication	ODI Supporter, offer consultancy services around open data and intellectual property		90 Long Acre, London, WC2E 9RA	8/9/2013		https://aistemos.com/	ODI Supporter, offer consultancy services around open data and intellectual property
Oxford Analytics	United Kingdom		Education	Use open education data, advocate open data usage		Centre for Innovation and Enterprise, University of Oxford, Begbroke Science Park, Woodstock Road, Begbroke, Oxford, OX5 1PF	8/12/2013		http://www.oxfordanalytics.org/home/	Use open education data, advocate open data usage
Amazon Web Services	United Kingdom		Professional, scientific & technical	AWS hosts a number of open public (not exclusively government) datasets			8/14/2013		http://aws.amazon.com/	AWS hosts a number of open public (not exclusively government) datasets
Berg	United Kingdom		Information & communication	Created schooloscope (when it was a design consultancy) which used open education data		5th Floor, Epworth House, 25 City Road, London, EC1Y 1AA,	8/19/2013		http://bergcloud.com/home	Created schooloscope (when it was a design consultancy) which used open education data
Data Unlocked	United Kingdom			Publishes using ODCs, Schools finder uses open Ofsted data			8/20/2013		http://dataunlocked.co.uk/	Publishes using ODCs, Schools finder uses open Ofsted data
McKinsey & Company	United Kingdom		Professional, scientific & technical	Promote open data, carry out research into effects including the "Open data: Unlocking innovation and performance with liquid information" report		No. 1 Jermyn Street, London, SW1Y 4UH	11/8/2013		http://www.mckinsey.com/global_locations/europe_and_middleeast/united_kingdom	Promote open data, carry out research into effects including the "Open data: Unlocking innovation and performance with liquid information" report
Opensensors IO	United Kingdom		Information & communication	ODI Startup: allows and encourages users to publish data openly		3rd Floor, 65 Clifton Street, London, EC2A 4JE	11/13/2013		https://opensensors.io/	ODI Startup: allows and encourages users to publish data openly
KnowNow (kn-i)	United Kingdom		Information & communication	Uses weather and geographic open data, won 2014 STFC Open data challenge		Halpern House, 1-2 Hampshire Terrace, Portsmouth, Hants, PO1 2JF	11/19/2013		http://www.kn-i.com/	Uses weather and geographic open data, won 2014 STFC Open data challenge
